timestamp,k,state,T,T_pred_next,T_amb,omega,I,event
1770840975.5853145,264,RUN,25.7368,35.8448,30.0734,776.49,7.1001,
1770840975.6877575,265,RUN,25.7383,35.7429,30.0673,856.14,7.5238,
1770840975.7887905,266,RUN,25.7398,35.7598,30.1186,859.26,7.1857,
1770840975.8915486,267,RUN,25.7412,35.7899,30.0644,886.82,7.3375,
1770840975.9940436,268,RUN,25.7428,35.7125,30.1287,974.82,7.2846,
1770840976.0958269,269,RUN,25.7443,35.7742,30.0665,949.29,7.3715,
1770840976.1967683,270,RUN,25.7458,35.7685,30.0564,903.06,7.4726,
1770840976.2991858,271,RUN,25.7473,35.7767,30.0312,852.82,7.5972,
1770840976.3999488,272,RUN,25.7489,35.7748,30.0111,872.35,7.7065,
1770840976.5021384,273,RUN,25.7506,35.7136,29.9542,833.85,8.2816,
1770840976.604526,274,RUN,25.7520,35.8922,29.8961,664.51,7.5369,
1770840976.7070067,275,RUN,25.7534,35.9057,29.8975,666.99,7.4898,
1770840976.8089662,276,RUN,25.7547,35.7436,29.9582,453.16,7.6482,
1770840976.9108348,277,RUN,25.7559,35.7040,30.0363,362.94,7.4963,
1770840977.0120413,278,RUN,25.7570,35.7310,29.9986,291.39,7.3658,
1770840977.1143374,279,RUN,25.7582,35.7873,30.0700,438.38,7.2314,
1770840977.2166708,280,RUN,25.7596,35.5508,30.1653,441.23,7.9329,
1770840977.3189669,281,RUN,25.7610,35.5199,30.1606,451.71,8.0790,
1770840977.4202135,282,RUN,25.7623,35.4078,30.3196,519.81,7.7961,
1770840977.5231793,283,RUN,25.7637,35.3975,30.3680,490.87,7.6002,
1770840977.6258156,284,RUN,25.7650,35.3135,30.4134,493.35,7.7117,
1770840977.7277057,285,RUN,25.7664,35.2697,30.4141,520.28,7.8817,
1770840977.8294408,286,RUN,25.7678,35.4823,30.3173,573.61,7.4888,
1770840977.9309204,287,RUN,25.7691,35.5670,30.2452,568.93,7.5224,
1770840978.0331137,288,RUN,25.7704,35.7340,30.2105,635.42,6.9856,
1770840978.1353252,289,RUN,25.7716,35.7700,30.1901,588.63,6.9669,
1770840978.2378695,290,RUN,25.7728,35.6919,30.2041,508.00,7.2566,
1770840978.3398435,291,RUN,25.7738,35.8873,30.2072,356.64,6.4732,
1770840978.4418614,292,RUN,25.7747,35.8919,30.2066,338.96,6.4318,
1770840978.543878,293,RUN,25.7758,35.8006,30.2052,357.01,6.8109,
1770840978.6458106,294,RUN,25.7767,35.9095,30.1497,263.25,6.3736,
1770840978.7468126,295,RUN,25.7776,35.9882,30.1641,362.85,6.2010,
1770840978.8485105,296,RUN,25.7783,36.0910,30.0390,226.53,5.8678,
1770840978.9508774,297,RUN,25.7791,36.0897,30.0111,193.85,5.8833,
1770840979.051834,298,RUN,25.7798,36.2045,29.9956,277.80,5.6128,
1770840979.1539414,299,RUN,25.7805,36.4069,29.9524,316.11,4.9986,
1770840979.2553096,300,RUN,25.7811,36.4153,29.9719,324.32,4.9396,
1770840979.3576095,301,RUN,25.7819,36.1334,30.0513,274.54,5.7637,
1770840979.4594674,302,RUN,25.7826,36.0912,30.0401,172.38,5.7917,
1770840979.562021,303,RUN,25.7833,36.0552,29.9863,112.24,5.9505,
1770840979.6644044,304,RUN,25.7841,35.9156,30.0140,62.46,6.3455,
1770840979.7665586,305,RUN,25.7850,35.8747,30.0719,177.37,6.5572,
1770840979.868839,306,RUN,25.7857,35.8092,30.1401,26.90,6.4301,
1770840979.9711013,307,RUN,25.7864,35.8982,30.0967,36.44,6.2015,
1770840980.0719297,308,RUN,25.7872,35.9827,30.0884,187.02,6.1336,
1770840980.175172,309,RUN,25.7880,35.9560,30.1091,168.44,6.1639,
1770840980.2770317,310,RUN,25.7889,35.8479,30.1094,204.30,6.6300,
1770840980.3788278,311,RUN,25.7899,35.7503,30.1918,229.07,6.8658,
1770840980.4810765,312,RUN,25.7910,35.6809,30.1342,222.04,7.2420,
1770840980.5818331,313,RUN,25.7921,35.5707,30.1775,238.97,7.5965,
1770840980.6835222,314,RUN,25.7934,35.5663,30.2021,334.99,7.7123,
1770840980.7858725,315,RUN,25.7944,35.8975,30.1843,361.86,6.5400,
1770840980.8877819,316,RUN,25.7950,35.9503,30.2034,69.99,5.8506,
1770840980.9885101,317,RUN,25.7956,36.0764,30.2260,108.19,5.3857,
1770840981.0910757,318,RUN,25.7963,36.1925,30.1904,217.83,5.1920,
1770840981.1930692,319,RUN,25.7969,36.0708,30.3026,217.68,5.3553,
1770840981.2941425,320,RUN,25.7975,36.0641,30.3834,228.16,4.9543,
1770840981.3968391,321,RUN,25.7981,36.2032,30.3779,225.31,4.4084,
1770840981.4989367,322,RUN,25.7986,36.1370,30.3651,165.94,4.7782,
1770840981.6011174,323,RUN,25.7991,36.1478,30.3669,143.31,4.7357,
1770840981.7029247,324,RUN,25.7996,36.2250,30.3780,192.66,4.3358,
1770840981.8046713,325,RUN,25.8001,36.3217,30.3259,281.03,4.1709,
1770840981.9061344,326,RUN,25.8007,36.3634,30.2551,316.54,4.3562,
1770840982.0090637,327,RUN,25.8013,36.3881,30.1786,334.90,4.6505,
1770840982.1115327,328,RUN,25.8019,36.4946,30.1973,385.46,4.0888,
1770840982.2122834,329,RUN,25.8024,36.5230,30.2138,361.25,3.8956,
1770840982.3144708,330,RUN,25.8031,36.2826,30.2574,479.59,4.6134,
1770840982.4167757,331,RUN,25.8038,36.1666,30.3231,470.81,4.7545,
1770840982.517725,332,RUN,25.8045,36.1055,30.3614,480.50,4.8068,
1770840982.653116,333,RUN,25.8052,36.1555,30.4026,475.76,4.5151,
1770840982.7562978,334,RUN,25.8059,36.1798,30.3819,526.47,4.5163,
1770840982.8585086,335,RUN,25.8067,36.2187,30.3989,580.08,4.3663,
1770840982.9599845,336,RUN,25.8074,36.3332,30.4367,610.39,3.8724,
1770840983.0619135,337,RUN,25.8079,36.4565,30.5088,570.33,3.2104,
1770840983.1628237,338,RUN,25.8085,36.4751,30.4566,488.64,3.2312,
1770840983.265822,339,RUN,25.8090,36.4122,30.4429,461.70,3.4791,
1770840983.3678966,340,RUN,25.8096,36.3593,30.4599,486.98,3.6430,
1770840983.4696903,341,RUN,25.8100,36.3475,30.4907,318.35,3.4973,
1770840983.5705748,342,RUN,25.8105,36.4289,30.3817,321.23,3.4954,
1770840983.6738725,343,RUN,25.8110,36.3852,30.4340,416.24,3.5765,
1770840983.776233,344,RUN,25.8115,36.4691,30.4089,455.05,3.3654,
1770840983.878071,345,RUN,25.8121,36.5451,30.4089,533.95,3.1422,
1770840983.9788616,346,RUN,25.8126,36.6309,30.4492,588.14,2.7603,
1770840984.0818381,347,RUN,25.8132,36.5942,30.4979,644.02,2.8011,
1770840984.1837804,348,RUN,25.8137,36.6698,30.4597,575.29,2.5860,
1770840984.2856019,349,RUN,25.8142,36.5883,30.4869,498.84,2.7610,
1770840984.3880048,350,RUN,25.8147,36.6193,30.4248,482.51,2.8049,
1770840984.488725,351,RUN,25.8152,36.3476,30.5470,372.33,3.3937,
1770840984.590251,352,RUN,25.8157,36.3352,30.5545,405.22,3.4410,
1770840984.6922395,353,RUN,25.8163,36.1563,30.5768,392.92,4.0227,
1770840984.7952402,354,RUN,25.8169,36.2606,30.5539,483.50,3.7649,
1770840984.896242,355,RUN,25.8174,36.1978,30.5509,397.75,3.9469,
1770840984.999063,356,RUN,25.8180,36.1658,30.6232,391.56,3.8682,
1770840985.1004543,357,RUN,25.8184,36.3798,30.5675,373.21,3.2311,
1770840985.2016797,358,RUN,25.8190,36.2711,30.5218,391.36,3.7587,
1770840985.3048306,359,RUN,25.8196,36.0013,30.6623,344.43,4.3328,
1770840985.4073315,360,RUN,25.8202,35.9428,30.6745,332.33,4.5058,
1770840985.5091753,361,RUN,25.8207,35.9876,30.6776,341.16,4.3425,
1770840985.610315,362,RUN,25.8213,35.9453,30.6077,217.67,4.6038,
1770840985.7120116,363,RUN,25.8218,35.9465,30.5938,169.98,4.6072,
1770840985.8144693,364,RUN,25.8223,35.9927,30.6336,184.41,4.3448,
1770840985.9168086,365,RUN,25.8229,35.9156,30.6949,310.75,4.5426,
1770840986.0190003,366,RUN,25.8236,35.7729,30.7436,410.11,4.9946,
1770840986.1209953,367,RUN,25.8244,35.7019,30.7743,457.97,5.2025,
1770840986.2223458,368,RUN,25.8252,35.9025,30.7194,514.03,4.6602,
1770840986.3244936,369,RUN,25.8260,35.8577,30.6797,618.32,4.9963,
1770840986.4254138,370,RUN,25.8268,35.9272,30.7540,596.58,4.5354,
1770840986.5269964,371,RUN,25.8276,35.9292,30.7420,604.75,4.5669,
1770840986.6301572,372,RUN,25.8284,35.8441,30.7987,575.84,4.7078,
1770840986.7323148,373,RUN,25.8292,35.8869,30.7493,611.87,4.7090,
1770840986.8331773,374,RUN,25.8300,35.9320,30.7118,593.00,4.6353,
1770840986.9358318,375,RUN,25.8308,35.9784,30.6983,734.71,4.5960,
1770840987.0379145,376,RUN,25.8316,36.0570,30.6861,566.91,4.2383,
1770840987.139523,377,RUN,25.8323,35.9048,30.6729,512.05,4.7910,
1770840987.2414494,378,RUN,25.8331,35.9227,30.6647,615.12,4.8156,
1770840987.3422253,379,RUN,25.8340,35.9202,30.6665,608.02,4.8172,
1770840987.4441807,380,RUN,25.8346,36.0460,30.7525,422.45,4.0165,
1770840987.546825,381,RUN,25.8352,35.9903,30.7253,423.61,4.2926,
1770840987.6476536,382,RUN,25.8359,35.8553,30.7490,392.87,4.7002,
1770840987.7496307,383,RUN,25.8366,35.7141,30.8005,407.60,5.0853,
1770840987.8521657,384,RUN,25.8374,35.6195,30.8141,362.68,5.3644,
1770840987.954646,385,RUN,25.8383,35.4532,30.8196,362.78,5.9536,
1770840988.056198,386,RUN,25.8390,35.6549,30.6971,249.37,5.4787,
1770840988.1568825,387,RUN,25.8396,35.8317,30.6789,229.00,4.8758,
